"time_m","position"
64,"staff"
64,"student"
53,"faculty"
49,"staff"
55,"staff"
66,"student"
52,"student"
59,"student"
58,"student"
56,"student"
64,"student"
47,"student"
45,"student"
62,"student"
70,"staff"
58,"student"
53,"faculty"
58,"student"
53,"student"
49,"student"
61,"student"
57,"student"
54,"staff"
53,"student"
59,"student"
43,"staff"
62,"staff"
74,"staff"
50,"student"
68,"student"
50,"student"
45,"student"
60,"staff"
60,"faculty"
63,"staff"
52,"student"
57,"student"
43,"student"
50,"student"
48,"staff"
50,"student"
56,"student"
58,"student"
58,"student"
51,"student"
63,"student"
53,"student"
62,"student"
49,"student"
53,"student"
62,"student"
55,"student"
53,"staff"
57,"faculty"
52,"staff"
72,"student"
76,"student"
53,"student"
60,"student"
67,"student"
57,"student"
46,"staff"
47,"student"
70,"student"
70,"faculty"
58,"student"
41,"student"
46,"staff"
53,"student"
55,"student"
47,"student"
65,"student"
52,"staff"
54,"staff"
74,"staff"
58,"staff"
61,"student"
64,"staff"
73,"student"
67,"student"
47,"staff"
58,"student"
57,"student"
52,"staff"
53,"student"
50,"staff"
58,"student"
65,"student"
54,"staff"
56,"student"
62,"student"
49,"student"
46,"staff"
50,"student"
46,"student"
57,"student"
55,"student"
57,"student"
44,"student"
58,"student"
52,"student"
56,"student"
60,"student"
59,"student"
54,"student"
42,"student"
54,"student"
61,"faculty"
52,"staff"
58,"staff"
56,"staff"
59,"student"
45,"staff"
53,"staff"
53,"student"
57,"staff"
61,"staff"
50,"faculty"
57,"student"
69,"student"
53,"student"
36,"student"
49,"faculty"
63,"staff"
62,"faculty"
65,"staff"
49,"student"
60,"student"
41,"student"
46,"student"
49,"staff"
46,"student"
36,"student"
55,"student"
58,"student"
59,"staff"
64,"student"
63,"student"
64,"student"
45,"student"
66,"student"
55,"student"
58,"faculty"
49,"student"
56,"student"
56,"student"
55,"staff"
56,"student"
67,"staff"
59,"student"
51,"staff"
67,"student"
53,"student"
58,"student"
55,"student"
50,"student"
51,"staff"
57,"student"
48,"student"
55,"student"
60,"student"
61,"student"
58,"faculty"
62,"student"
52,"student"
54,"student"
45,"student"
48,"student"
67,"faculty"
52,"staff"
51,"staff"
55,"student"
41,"staff"
68,"student"
51,"staff"
56,"staff"
51,"student"
63,"faculty"
54,"student"
68,"student"
51,"student"
55,"staff"
58,"student"
60,"faculty"
48,"staff"
55,"student"
52,"student"
55,"staff"
47,"faculty"
55,"staff"
66,"student"
58,"student"
67,"faculty"
49,"student"
66,"student"
61,"student"
63,"student"
77,"student"
60,"student"
48,"student"
50,"student"
55,"student"
57,"student"
44,"student"
54,"student"
57,"student"
43,"student"
52,"staff"
64,"student"
58,"student"
61,"student"
46,"staff"
48,"student"
53,"student"
54,"staff"
59,"student"
66,"student"
51,"student"
58,"student"
60,"student"
51,"student"
43,"student"
62,"student"
70,"student"
53,"student"
62,"student"
54,"student"
60,"student"
48,"student"
53,"student"
59,"student"
67,"student"
64,"student"
54,"student"
61,"student"
60,"student"
36,"student"
46,"staff"
56,"student"
54,"faculty"
62,"staff"
56,"student"
62,"student"
51,"student"
57,"student"
47,"faculty"
56,"student"
64,"student"
55,"student"
65,"student"
66,"student"
52,"student"
58,"student"
61,"student"
54,"student"
62,"student"
51,"staff"
49,"student"
54,"student"
45,"staff"
63,"student"
55,"staff"
38,"student"
65,"staff"
54,"faculty"
67,"staff"
64,"student"
65,"student"
57,"faculty"
54,"student"
56,"student"
50,"student"
50,"student"
59,"student"
42,"student"
55,"student"
51,"staff"
70,"student"
67,"student"
51,"student"
53,"student"
43,"student"
47,"staff"
72,"student"
58,"student"
58,"student"
59,"staff"
59,"staff"
54,"student"
58,"student"
63,"faculty"
56,"staff"
51,"student"
61,"staff"
43,"staff"
50,"student"
46,"student"
44,"student"
51,"student"
49,"student"
57,"student"
59,"staff"
47,"student"
59,"student"
52,"student"
70,"student"
66,"staff"
58,"student"
47,"student"
56,"student"
60,"student"
61,"student"
53,"student"
61,"student"
56,"student"
56,"student"
51,"student"
66,"staff"
52,"student"
41,"staff"
62,"staff"
56,"student"
42,"student"
59,"staff"
52,"student"
59,"student"
67,"student"
32,"student"
67,"student"
58,"student"
59,"student"
55,"student"
59,"faculty"
52,"student"
54,"student"
73,"student"
57,"student"
49,"staff"
72,"student"
61,"student"
46,"student"
47,"student"
45,"student"
54,"student"
59,"staff"
62,"student"
57,"faculty"
48,"student"
57,"student"
62,"student"
65,"student"
60,"staff"
51,"student"
42,"student"
61,"staff"
60,"student"
55,"student"
57,"faculty"
56,"student"
48,"student"
44,"student"
64,"student"
53,"student"
60,"staff"
68,"student"
56,"faculty"
61,"student"
48,"staff"
60,"faculty"
51,"student"
54,"student"
45,"student"
52,"faculty"
61,"student"
62,"student"
61,"faculty"
55,"staff"
52,"staff"
63,"student"
70,"staff"
43,"student"
69,"student"
51,"student"
53,"student"
51,"student"
50,"student"
50,"student"
52,"student"
55,"student"
52,"student"
51,"student"
60,"student"
59,"student"
61,"student"
68,"student"
55,"faculty"
54,"staff"
67,"staff"
55,"student"
60,"student"
60,"student"
52,"student"
53,"student"
51,"staff"
62,"student"
60,"student"
44,"student"
43,"student"
75,"student"
48,"student"
49,"student"
55,"student"
43,"student"
51,"student"
60,"student"
54,"student"
55,"student"
54,"student"
58,"student"
59,"student"
63,"staff"
59,"student"
60,"student"
48,"student"
57,"faculty"
53,"staff"
46,"student"
49,"student"
46,"student"
56,"student"
36,"staff"
56,"student"
54,"student"
60,"student"
53,"student"
69,"faculty"
54,"student"
48,"student"
53,"student"
57,"student"
60,"student"
51,"student"
52,"student"
58,"student"
45,"student"
53,"student"
65,"student"
57,"student"
62,"staff"
45,"student"
54,"student"
50,"student"
55,"student"
48,"staff"
49,"student"
50,"staff"
48,"student"
50,"student"
37,"student"
60,"faculty"
63,"staff"
61,"staff"
64,"faculty"
50,"student"
56,"student"
47,"student"
59,"student"
68,"student"
49,"student"
59,"staff"
41,"student"
52,"student"
60,"student"
57,"student"
45,"student"
61,"student"
46,"student"
54,"student"
61,"student"
54,"student"
60,"staff"
54,"student"
54,"staff"
53,"student"
53,"staff"
64,"faculty"
54,"faculty"
46,"student"
42,"student"
51,"staff"
44,"student"
61,"staff"
53,"faculty"
39,"staff"
50,"student"
60,"student"
58,"student"
48,"student"
46,"student"
40,"student"
58,"student"
74,"student"
61,"student"
64,"staff"
53,"student"
48,"faculty"
41,"student"
43,"faculty"
51,"student"
57,"student"
66,"student"
50,"faculty"
67,"staff"
44,"student"
55,"student"
49,"student"
60,"student"
63,"student"
46,"student"
57,"student"
57,"staff"
67,"student"
48,"student"
61,"faculty"
53,"staff"
40,"student"
62,"student"
49,"student"
58,"student"
45,"student"
67,"student"
49,"student"
59,"student"
56,"student"
63,"student"
66,"staff"
71,"student"
56,"student"
60,"student"
51,"student"
61,"staff"
57,"student"
55,"student"
55,"staff"
61,"student"
44,"faculty"
49,"staff"
55,"faculty"
49,"student"
57,"student"
56,"student"
48,"student"
47,"staff"
58,"student"
61,"student"
54,"student"
49,"student"
54,"student"
52,"student"
55,"student"
54,"student"
57,"student"
53,"student"
61,"faculty"
46,"student"
50,"student"
58,"faculty"
47,"student"
