ID,PARAM,Year,MM--DD,MAX,SYM,MM--DD,MIN,SYM
05BB001,1,1909,07--07,314,,,,
05BB001,1,1910,06--12,230,,,,
05BB001,1,1911,06--14,264,,02--27,5.75,
05BB001,1,1912,08--25,174,,03--14,5.80,
05BB001,1,1913,06--11,232,,03--18,6.12,B
05BB001,1,1914,06--18,214,,11--17,7.16,
05BB001,1,1915,06--27,236,,01--27,6.94,
05BB001,1,1916,06--20,309,,03--02,6.97,B
05BB001,1,1917,06--17,174,,02--23,6.06,B
05BB001,1,1918,06--15,345,,02--20,6.03,B
05BB001,1,1919,06--22,185,,02--28,4.56,B
05BB001,1,1920,07--03,248,,04--03,5.69,B
05BB001,1,1921,06--09,171,,03--11,6.37,B
05BB001,1,1922,06--05,209,,03--27,6.57,B
05BB001,1,1923,06--14,377,,12--20,6.43,E
05BB001,1,1924,07--05,167,,04--20,6.26,
05BB001,1,1925,05--23,212,,12--31,5.44,B
05BB001,1,1926,07--07,130,,04--05,5.52,B
05BB001,1,1927,06--27,221,,02--17,6.48,B
05BB001,1,1928,05--28,289,,12--29,6.09,B
05BB001,1,1929,06--02,215,,04--08,4.90,B
05BB001,1,1930,06--08,263,,12--29,6.00,B
05BB001,1,1931,06--18,187,,03--26,4.70,B
05BB001,1,1932,06--03,279,,01--05,3.62,B
05BB001,1,1933,06--17,311,,12--26,5.27,B
05BB001,1,1934,05--31,269,,02--26,4.08,B
05BB001,1,1935,06--16,197,,12--19,5.95,B
05BB001,1,1936,06--01,219,,02--16,5.64,B
05BB001,1,1937,06--17,148,,02--14,5.15,B
05BB001,1,1938,06--23,220,,02--15,6.63,B
05BB001,1,1939,05--29,178,,02--10,5.49,B
05BB001,1,1940,05--26,204,,03--12,6.43,B
05BB001,1,1941,06--25,126,,11--23,6.14,
05BB001,1,1942,07--05,166,,02--17,6.37,B
05BB001,1,1943,07--10,209,,02--28,5.04,B
05BB001,1,1944,06--12,158,,03--13,5.55,B
05BB001,1,1945,06--22,126,,04--11,6.99,
05BB001,1,1946,05--29,204,,03--14,7.70,B
05BB001,1,1947,06--11,167,,03--04,7.31,B
05BB001,1,1948,06--09,292,,01--27,8.41,B
05BB001,1,1949,06--07,121,,12--11,6.09,B
05BB001,1,1950,06--21,286,,03--31,5.04,
05BB001,1,1951,06--16,243,,03--05,4.25,B
05BB001,1,1952,06--30,155,,04--01,6.06,
05BB001,1,1953,06--14,260,,02--09,6.00,B
05BB001,1,1954,07--08,286,,03--28,6.43,B
05BB001,1,1955,06--24,246,,02--11,6.74,B
05BB001,1,1956,06--05,257,,12--06,6.09,B
05BB001,1,1957,05--20,152,,03--05,5.86,B
05BB001,1,1958,05--26,191,,03--01,6.14,B
05BB001,1,1959,06--22,212,,01--03,6.68,B
05BB001,1,1960,07--01,182,,02--27,7.25,B
05BB001,1,1961,06--07,266,,01--19,7.59,B
05BB001,1,1962,06--26,184,,02--05,5.44,B
05BB001,1,1963,06--19,183,,02--02,6.43,B
05BB001,1,1964,06--14,246,,03--23,7.31,B
05BB001,1,1965,06--19,289,,03--18,7.87,B
05BB001,1,1966,06--01,225,,03--03,7.93,B
05BB001,1,1967,06--22,275,,03--11,7.53,B
05BB001,1,1968,06--27,191,,04--22,7.53,
05BB001,1,1969,06--06,203,,01--31,7.50,B
05BB001,1,1970,06--05,155,,11--23,5.21,B
05BB001,1,1971,06--07,199,,03--22,5.41,B
05BB001,1,1972,06--12,311,,03--01,7.16,B
05BB001,1,1973,06--24,215,,01--04,6.71,B
05BB001,1,1974,06--25,317,,03--22,6.09,B
05BB001,1,1975,07--14,144,,03--08,5.66,B
05BB001,1,1976,07--01,191,,03--23,5.95,B
05BB001,1,1977,06--09,207,,11--21,5.83,B
05BB001,1,1978,06--06,189,,01--30,5.75,B
05BB001,1,1979,06--13,150,,02--09,5.40,B
05BB001,1,1980,05--22,190,,03--04,4.14,B
05BB001,1,1981,05--27,227,,02--10,7.24,B
05BB001,1,1982,06--22,192,,01--16,6.15,B
05BB001,1,1983,05--31,155,,12--02,5.83,
05BB001,1,1984,06--30,220,E,03--14,5.91,B
05BB001,1,1985,05--25,160,,03--03,6.04,B
05BB001,1,1986,06--02,313,,02--18,5.55,B
05BB001,1,1987,06--17,146,A,11--30,6.19,B
05BB001,1,1988,06--08,244,,01--05,5.11,B
05BB001,1,1989,06--16,208,,03--30,6.40,B
05BB001,1,1990,06--25,239,,03--23,8.12,B
05BB001,1,1991,07--04,242,,03--02,6.39,B
05BB001,1,1992,06--13,131,,12--28,6.88,B
05BB001,1,1993,06--02,128,,02--15,5.64,B
05BB001,1,1994,06--27,147,A,02--25,7.35,B
05BB001,1,1995,06--07,263,,02--11,4.85,B
05BB001,1,1996,06--09,231,,02--26,6.51,B
05BB001,1,1997,06--06,213,,02--28,6.73,B
05BB001,1,1998,05--28,133,,12--20,6.25,B
