fish_species,mercury_concentration
salmon,0.11
salmon,0
salmon,0
salmon,0.06
salmon,0.12
salmon,0.19
salmon,0.015
salmon,0
salmon,0
salmon,0
salmon,0.0905
salmon,0
salmon,0
salmon,0.021
salmon,0.012
salmon,0.0298
salmon,0.03
salmon,0.022
salmon,0.02
salmon,0.013
salmon,0.02
salmon,0.01
salmon,0.011
salmon,0.031
salmon,0.014
salmon,0.018
salmon,0.0285
salmon,0.02
salmon,0
salmon,0.018
salmon,0
salmon,0
salmon,0
salmon,0.027
salmon,0.02
salmon,0.036
salmon,0.022
salmon,0.031
salmon,0.031
salmon,0.0373
salmon,0.021
salmon,0.024
salmon,0.014
salmon,0.0156
salmon,0.074
salmon,0.046
salmon,0.049
salmon,0.025
salmon,0.035
salmon,0.02
salmon,0.029
salmon,0
salmon,0
salmon,0.0602
salmon,0
salmon,0.015
salmon,0
salmon,0.0347
salmon,0.0332
salmon,0.025
salmon,0
salmon,0.02
salmon,0.018
salmon,0
salmon,0
salmon,0.0229
salmon,0.0729
salmon,0
salmon,0
salmon,0
salmon,0
salmon,0
salmon,0
salmon,0
salmon,0
salmon,0
salmon,0
salmon,0
salmon,0
salmon,0.04
salmon,0.05
salmon,0.06
salmon,0
salmon,0
salmon,0.18
salmon,0
salmon,0
salmon,0
salmon,0
salmon,0
salmon,0
salmon,0
salmon,0
salmon,0
