"sample_id","replicate","diameter"
1,1,10.16
1,1,7.62
1,1,27.94
1,1,33.02
1,1,7.62
1,1,7.62
1,1,45.72
1,1,45.72
1,1,33.02
1,1,33.02
1,1,22.86
1,1,8.89
1,1,33.02
1,1,7.62
1,1,30.48
1,1,33.02
1,1,19.05
1,1,81.28
1,1,53.975
1,1,24.13
1,1,81.28
1,1,7.62
1,1,81.28
1,1,24.13
1,1,35.56
1,1,63.5
1,1,99.06
1,1,99.06
1,1,35.56
1,1,35.56
1,2,55.88
1,2,81.28
1,2,45.72
1,2,99.06
1,2,53.975
1,2,8.89
1,2,40.64
1,2,81.28
1,2,7.62
1,2,45.72
1,2,35.56
1,2,7.62
1,2,63.5
1,2,33.02
1,2,55.88
1,2,33.02
1,2,10.16
1,2,53.975
1,2,35.56
1,2,7.62
1,2,7.62
1,2,40.64
1,2,35.56
1,2,35.56
1,2,33.02
1,2,33.02
1,2,7.62
1,2,40.64
1,2,7.62
1,2,7.62
1,3,7.62
1,3,7.62
1,3,22.86
1,3,33.02
1,3,81.28
1,3,8.89
1,3,7.62
1,3,7.62
1,3,53.975
1,3,24.13
1,3,8.89
1,3,7.62
1,3,27.94
1,3,53.975
1,3,19.05
1,3,7.62
1,3,33.02
1,3,81.28
1,3,55.88
1,3,45.72
1,3,50.8
1,3,27.94
1,3,33.02
1,3,7.62
1,3,7.62
1,3,30.48
1,3,35.56
1,3,33.02
1,3,40.64
1,3,55.88
1,4,55.88
1,4,15.24
1,4,33.02
1,4,40.64
1,4,35.56
1,4,8.89
1,4,8.89
1,4,40.64
1,4,27.94
1,4,40.64
1,4,7.62
1,4,22.86
1,4,30.48
1,4,7.62
1,4,10.16
1,4,40.64
1,4,40.64
1,4,44.45
1,4,15.24
1,4,22.86
1,4,35.56
1,4,53.975
1,4,45.72
1,4,40.64
1,4,35.56
1,4,46.355
1,4,22.86
1,4,45.72
1,4,81.28
1,4,44.45
1,5,15.24
1,5,50.8
1,5,7.62
1,5,63.5
1,5,24.13
1,5,7.62
1,5,35.56
1,5,33.02
1,5,7.62
1,5,81.28
1,5,8.89
1,5,7.62
1,5,30.48
1,5,35.56
1,5,10.16
1,5,15.24
1,5,35.56
1,5,10.16
1,5,8.89
1,5,7.62
1,5,22.86
1,5,33.02
1,5,63.5
1,5,33.02
1,5,24.13
1,5,33.02
1,5,7.62
1,5,55.88
1,5,7.62
1,5,10.16
1,6,30.48
1,6,40.64
1,6,8.89
1,6,7.62
1,6,33.02
1,6,35.56
1,6,7.62
1,6,63.5
1,6,33.02
1,6,19.05
1,6,10.16
1,6,63.5
1,6,19.05
1,6,99.06
1,6,50.8
1,6,7.62
1,6,19.05
1,6,99.06
1,6,7.62
1,6,53.975
1,6,22.86
1,6,45.72
1,6,15.24
1,6,7.62
1,6,33.02
1,6,40.64
1,6,7.62
1,6,33.02
1,6,7.62
1,6,8.89
1,7,35.56
1,7,8.89
1,7,19.05
1,7,44.45
1,7,50.8
1,7,7.62
1,7,24.13
1,7,40.64
1,7,81.28
1,7,8.89
1,7,27.94
1,7,40.64
1,7,40.64
1,7,8.89
1,7,45.72
1,7,10.16
1,7,81.28
1,7,10.16
1,7,22.86
1,7,40.64
1,7,7.62
1,7,24.13
1,7,7.62
1,7,7.62
1,7,63.5
1,7,7.62
1,7,10.16
1,7,63.5
1,7,10.16
1,7,7.62
1,8,40.64
1,8,50.8
1,8,19.05
1,8,7.62
1,8,27.94
1,8,7.62
1,8,8.89
1,8,45.72
1,8,8.89
1,8,19.05
1,8,40.64
1,8,44.45
1,8,40.64
1,8,50.8
1,8,7.62
1,8,7.62
1,8,7.62
1,8,22.86
1,8,19.05
1,8,19.05
1,8,55.88
1,8,7.62
1,8,8.89
1,8,7.62
1,8,50.8
1,8,19.05
1,8,30.48
1,8,99.06
1,8,22.86
1,8,50.8
1,9,10.16
1,9,7.62
1,9,40.64
1,9,7.62
1,9,35.56
1,9,40.64
1,9,7.62
1,9,24.13
1,9,40.64
1,9,45.72
1,9,33.02
1,9,46.355
1,9,7.62
1,9,40.64
1,9,30.48
1,9,33.02
1,9,7.62
1,9,7.62
1,9,46.355
1,9,33.02
1,9,15.24
1,9,10.16
1,9,81.28
1,9,33.02
1,9,44.45
1,9,22.86
1,9,10.16
1,9,81.28
1,9,45.72
1,9,45.72
1,10,46.355
1,10,8.89
1,10,40.64
1,10,50.8
1,10,7.62
1,10,55.88
1,10,24.13
1,10,7.62
1,10,81.28
1,10,7.62
1,10,24.13
1,10,33.02
1,10,45.72
1,10,50.8
1,10,15.24
1,10,55.88
1,10,15.24
1,10,24.13
1,10,22.86
1,10,45.72
1,10,15.24
1,10,35.56
1,10,99.06
1,10,10.16
1,10,24.13
1,10,24.13
1,10,33.02
1,10,35.56
1,10,7.62
1,10,27.94
1,11,22.86
1,11,27.94
1,11,45.72
1,11,30.48
1,11,27.94
1,11,40.64
1,11,10.16
1,11,10.16
1,11,99.06
1,11,44.45
1,11,53.975
1,11,35.56
1,11,33.02
1,11,63.5
1,11,40.64
1,11,35.56
1,11,50.8
1,11,99.06
1,11,27.94
1,11,40.64
1,11,99.06
1,11,24.13
1,11,81.28
1,11,27.94
1,11,7.62
1,11,7.62
1,11,40.64
1,11,40.64
1,11,10.16
1,11,55.88
1,12,24.13
1,12,7.62
1,12,63.5
1,12,7.62
1,12,35.56
1,12,35.56
1,12,63.5
1,12,35.56
1,12,8.89
1,12,99.06
1,12,99.06
1,12,33.02
1,12,8.89
1,12,30.48
1,12,27.94
1,12,55.88
1,12,33.02
1,12,55.88
1,12,44.45
1,12,44.45
1,12,44.45
1,12,8.89
1,12,15.24
1,12,81.28
1,12,7.62
1,12,10.16
1,12,22.86
1,12,27.94
1,12,35.56
1,12,99.06
1,13,7.62
1,13,55.88
1,13,55.88
1,13,81.28
1,13,22.86
1,13,44.45
1,13,7.62
1,13,81.28
1,13,7.62
1,13,44.45
1,13,30.48
1,13,35.56
1,13,53.975
1,13,7.62
1,13,8.89
1,13,81.28
1,13,15.24
1,13,63.5
1,13,33.02
1,13,22.86
1,13,27.94
1,13,46.355
1,13,40.64
1,13,46.355
1,13,35.56
1,13,33.02
1,13,33.02
1,13,99.06
1,13,10.16
1,13,10.16
1,14,55.88
1,14,40.64
1,14,35.56
1,14,33.02
1,14,10.16
1,14,7.62
1,14,35.56
1,14,40.64
1,14,7.62
1,14,40.64
1,14,53.975
1,14,53.975
1,14,33.02
1,14,40.64
1,14,46.355
1,14,63.5
1,14,55.88
1,14,27.94
1,14,35.56
1,14,8.89
1,14,44.45
1,14,33.02
1,14,46.355
1,14,44.45
1,14,33.02
1,14,19.05
1,14,46.355
1,14,33.02
1,14,99.06
1,14,40.64
1,15,7.62
1,15,8.89
1,15,19.05
1,15,15.24
1,15,33.02
1,15,30.48
1,15,63.5
1,15,8.89
1,15,33.02
1,15,33.02
1,15,7.62
1,15,30.48
1,15,7.62
1,15,7.62
1,15,33.02
1,15,7.62
1,15,35.56
1,15,22.86
1,15,10.16
1,15,27.94
1,15,55.88
1,15,24.13
1,15,7.62
1,15,22.86
1,15,10.16
1,15,19.05
1,15,7.62
1,15,24.13
1,15,24.13
1,15,7.62
1,16,55.88
1,16,40.64
1,16,33.02
1,16,7.62
1,16,27.94
1,16,33.02
1,16,33.02
1,16,7.62
1,16,8.89
1,16,63.5
1,16,63.5
1,16,40.64
1,16,44.45
1,16,81.28
1,16,33.02
1,16,44.45
1,16,22.86
1,16,33.02
1,16,15.24
1,16,24.13
1,16,81.28
1,16,50.8
1,16,35.56
1,16,33.02
1,16,19.05
1,16,15.24
1,16,33.02
1,16,50.8
1,16,53.975
1,16,7.62
1,17,7.62
1,17,7.62
1,17,24.13
1,17,7.62
1,17,46.355
1,17,40.64
1,17,10.16
1,17,22.86
1,17,7.62
1,17,27.94
1,17,40.64
1,17,63.5
1,17,40.64
1,17,35.56
1,17,24.13
1,17,46.355
1,17,63.5
1,17,35.56
1,17,33.02
1,17,35.56
1,17,10.16
1,17,55.88
1,17,30.48
1,17,44.45
1,17,40.64
1,17,55.88
1,17,99.06
1,17,10.16
1,17,24.13
1,17,15.24
1,18,10.16
1,18,30.48
1,18,35.56
1,18,55.88
1,18,22.86
1,18,35.56
1,18,8.89
1,18,33.02
1,18,40.64
1,18,27.94
1,18,99.06
1,18,40.64
1,18,63.5
1,18,10.16
1,18,53.975
1,18,27.94
1,18,99.06
1,18,10.16
1,18,35.56
1,18,7.62
1,18,35.56
1,18,63.5
1,18,33.02
1,18,7.62
1,18,81.28
1,18,7.62
1,18,33.02
1,18,35.56
1,18,55.88
1,18,35.56
1,19,44.45
1,19,44.45
1,19,7.62
1,19,99.06
1,19,24.13
1,19,33.02
1,19,10.16
1,19,7.62
1,19,46.355
1,19,7.62
1,19,24.13
1,19,53.975
1,19,33.02
1,19,7.62
1,19,10.16
1,19,46.355
1,19,46.355
1,19,7.62
1,19,10.16
1,19,53.975
1,19,99.06
1,19,30.48
1,19,35.56
1,19,44.45
1,19,99.06
1,19,8.89
1,19,33.02
1,19,7.62
1,19,33.02
1,19,53.975
1,20,33.02
1,20,33.02
1,20,15.24
1,20,22.86
1,20,50.8
1,20,33.02
1,20,7.62
1,20,22.86
1,20,30.48
1,20,8.89
1,20,40.64
1,20,24.13
1,20,7.62
1,20,8.89
1,20,35.56
1,20,7.62
1,20,10.16
1,20,19.05
1,20,24.13
1,20,33.02
1,20,40.64
1,20,35.56
1,20,50.8
1,20,10.16
1,20,27.94
1,20,99.06
1,20,19.05
1,20,50.8
1,20,35.56
1,20,45.72
1,21,10.16
1,21,35.56
1,21,35.56
1,21,40.64
1,21,30.48
1,21,55.88
1,21,33.02
1,21,99.06
1,21,33.02
1,21,63.5
1,21,33.02
1,21,33.02
1,21,35.56
1,21,10.16
1,21,46.355
1,21,7.62
1,21,81.28
1,21,7.62
1,21,50.8
1,21,30.48
1,21,15.24
1,21,19.05
1,21,63.5
1,21,40.64
1,21,7.62
1,21,81.28
1,21,27.94
1,21,33.02
1,21,15.24
1,21,44.45
1,22,15.24
1,22,33.02
1,22,53.975
1,22,30.48
1,22,99.06
1,22,19.05
1,22,33.02
1,22,44.45
1,22,44.45
1,22,45.72
1,22,15.24
1,22,44.45
1,22,40.64
1,22,19.05
1,22,44.45
1,22,15.24
1,22,24.13
1,22,19.05
1,22,7.62
1,22,30.48
1,22,40.64
1,22,7.62
1,22,40.64
1,22,7.62
1,22,10.16
1,22,7.62
1,22,7.62
1,22,7.62
1,22,10.16
1,22,24.13
1,23,8.89
1,23,10.16
1,23,7.62
1,23,22.86
1,23,33.02
1,23,7.62
1,23,45.72
1,23,53.975
1,23,10.16
1,23,7.62
1,23,33.02
1,23,10.16
1,23,55.88
1,23,44.45
1,23,19.05
1,23,19.05
1,23,24.13
1,23,7.62
1,23,99.06
1,23,33.02
1,23,45.72
1,23,7.62
1,23,63.5
1,23,40.64
1,23,27.94
1,23,30.48
1,23,7.62
1,23,10.16
1,23,50.8
1,23,7.62
1,24,7.62
1,24,40.64
1,24,45.72
1,24,7.62
1,24,40.64
1,24,44.45
1,24,15.24
1,24,7.62
1,24,7.62
1,24,7.62
1,24,30.48
1,24,22.86
1,24,7.62
1,24,45.72
1,24,63.5
1,24,99.06
1,24,81.28
1,24,8.89
1,24,7.62
1,24,15.24
1,24,40.64
1,24,27.94
1,24,7.62
1,24,7.62
1,24,10.16
1,24,99.06
1,24,35.56
1,24,35.56
1,24,33.02
1,24,55.88
1,25,40.64
1,25,10.16
1,25,53.975
1,25,99.06
1,25,40.64
1,25,35.56
1,25,40.64
1,25,33.02
1,25,10.16
1,25,8.89
1,25,19.05
1,25,35.56
1,25,40.64
1,25,40.64
1,25,33.02
1,25,50.8
1,25,63.5
1,25,53.975
1,25,19.05
1,25,10.16
1,25,8.89
1,25,10.16
1,25,33.02
1,25,27.94
1,25,27.94
1,25,33.02
1,25,15.24
1,25,15.24
1,25,40.64
1,25,27.94
1,26,46.355
1,26,63.5
1,26,33.02
1,26,33.02
1,26,33.02
1,26,53.975
1,26,63.5
1,26,63.5
1,26,55.88
1,26,81.28
1,26,30.48
1,26,7.62
1,26,33.02
1,26,15.24
1,26,99.06
1,26,50.8
1,26,33.02
1,26,24.13
1,26,40.64
1,26,55.88
1,26,40.64
1,26,30.48
1,26,81.28
1,26,7.62
1,26,99.06
1,26,45.72
1,26,19.05
1,26,7.62
1,26,10.16
1,26,7.62
1,27,7.62
1,27,27.94
1,27,35.56
1,27,40.64
