experiment,sample_size,p_value
1,35,0.9452415001497048
1,60,0.947317745703578
1,110,0.9643912156648733
1,260,0.9961744450908527
1,960,0.9055202242064762
2,35,0.9242680269820119
2,60,0.83475300804078
2,110,0.5473649575149904
2,260,0.8280911699615581
2,960,0.5380703734345249
3,35,0.47786479566158663
3,60,0.1611074564772602
3,110,0.7557502333235072
3,260,0.34545959941880144
3,960,0.6195235894729707
4,35,0.9476537280846766
4,60,0.8814326396554908
4,110,0.8994757771378509
4,260,0.9041548147601466
4,960,0.8393419664588735
5,35,0.7862830992691557
5,60,0.6959134864796344
5,110,0.6147031561531349
5,260,0.3141756030877192
5,960,0.7388194019271017
6,35,0.16724749645624226
6,60,0.125034467635292
6,110,0.18826188024082197
6,260,0.2411080524240456
6,960,0.8084142538416463
7,35,0.4472701005102473
7,60,0.1091069792698949
7,110,0.4874303388021015
7,260,0.20882284791793643
7,960,0.14753087650233607
8,35,0.9353463099930623
8,60,0.6341312865986339
8,110,0.4997171435672706
8,260,0.7379021405629321
8,960,0.9068507035670167
9,35,0.4879752940214883
9,60,0.48503959592598345
9,110,0.47027079056627297
9,260,0.48744951338976467
9,960,0.6276043941650251
10,35,0.6579139471398797
10,60,0.4188752581972271
10,110,0.07967791510182852
10,260,0.020696533839377584
10,960,0.26368214478598306
11,35,0.9606183623153961
11,60,0.9548110757287839
11,110,0.8460654239232417
11,260,0.9776328802477712
11,960,0.9780879308764724
12,35,0.6769778411788735
12,60,0.6739094843697324
12,110,0.5709373702239036
12,260,0.6480740639726846
12,960,0.41628501188132944
13,35,0.5267471441909604
13,60,0.664282250891574
13,110,0.8104426467581842
13,260,0.5060313955034079
13,960,0.5096369623008399
14,35,0.2466318642939233
14,60,0.3058013355373199
14,110,0.14427721712366276
14,260,0.6487549692008165
14,960,0.9948956439555426
15,35,0.28368436913462663
15,60,0.46815004868046745
15,110,0.73002439960436
15,260,0.9273638953170836
15,960,0.8866033735447975
16,35,0.9962932818301558
16,60,0.962564510293183
16,110,0.8292058720060307
16,260,0.2243852565257458
16,960,0.3181134741675852
17,35,0.4370372693780089
17,60,0.4662087339776022
17,110,0.6078906856291774
17,260,0.547305026103265
17,960,0.6379885309010378
18,35,0.03428007881311741
18,60,0.38226190839210494
18,110,0.10993239472688769
18,260,0.2679377422620559
18,960,0.23630805274626876
19,35,0.7454570190628933
19,60,0.5178803281240738
19,110,0.059530207512831945
19,260,0.2862009197079936
19,960,0.4016553811249337
20,35,0.9451456919381576
20,60,0.793347707257058
20,110,0.6741328001283199
20,260,0.9084775423863299
20,960,0.9659973728473026
21,35,0.40154038495950056
21,60,0.583880299590561
21,110,0.3197130448135057
21,260,0.37826467523106067
21,960,0.901173138452112
22,35,0.053834223982569145
22,60,0.007870796264158826
22,110,0.04757528464348759
22,260,0.0046239600179855235
22,960,0.012409649076547605
23,35,0.13061426247123833
23,60,0.19362730223483277
23,110,0.6340106774889769
23,260,0.1158881974877594
23,960,0.5984905975880692
24,35,0.630202009260112
24,60,0.4125366963092679
24,110,0.37266259724485756
24,260,0.22070644397236872
24,960,0.37651597969405853
25,35,0.3690271270996792
25,60,0.4436462968582608
25,110,0.6145261406126507
25,260,0.5910070995599861
25,960,0.8705014926907155
26,35,0.8301797675352768
26,60,0.7591491099805467
26,110,0.8028470270739934
26,260,0.8058578381720476
26,960,0.5206447133178589
27,35,0.26633858458480636
27,60,0.30524613265814704
27,110,0.6877225761938651
27,260,0.7132089267271694
27,960,0.16792722832593843
28,35,0.24468078307931268
28,60,0.2568860025056791
28,110,0.12925632085197714
28,260,0.2501983471748047
28,960,0.13514833217742656
29,35,0.039209755062000404
29,60,0.06592382484140401
29,110,0.07878460404049409
29,260,0.23389103656999988
29,960,0.31191012998967305
30,35,0.24585391424354436
30,60,0.09029341648957219
30,110,0.16205264742559955
30,260,0.5115594373005443
30,960,0.5089884710893449
31,35,0.35459505529931656
31,60,0.48863636207431904
31,110,0.4249466993546316
31,260,0.5527395531374102
31,960,0.9695757653167536
32,35,0.09962682034237673
32,60,0.01229261083272852
32,110,0.11105524506937592
32,260,0.06840664392781147
32,960,0.13986736455955326
33,35,0.9814842848038371
33,60,0.9650683840777264
33,110,0.9638684005290807
33,260,0.9898809359628647
33,960,0.788487538591429
34,35,0.48995606133846187
34,60,0.4672246979681789
34,110,0.49795774273939075
34,260,0.9090829544247511
34,960,0.9947107265744635
35,35,0.9342817264294938
35,60,0.8548561293530669
35,110,0.8632872019509605
35,260,0.18928683362684184
35,960,0.646982957430298
36,35,0.6414166338326521
36,60,0.4212656128847335
36,110,0.20286782313958746
36,260,0.05005676079154738
36,960,0.31310349427685336
37,35,0.4513203889716461
37,60,0.81481913392225
37,110,0.5448100934142177
37,260,0.5188298013394836
37,960,0.7920730664177172
38,35,0.9872271145435384
38,60,0.8086183540357281
38,110,0.5336288548059374
38,260,0.390087533236867
38,960,0.3434059498890133
39,35,0.3695744917625539
39,60,0.5340407082265362
39,110,0.2618675298527745
39,260,0.7800204149253191
39,960,0.1292848488485466
40,35,0.6642734242037747
40,60,0.25309601580797947
40,110,0.48673528708610314
40,260,0.4326668965751515
40,960,0.4616399276848205
41,35,0.5015936536985106
41,60,0.5126852265384952
41,110,0.6253595219571412
41,260,0.13583347234978518
41,960,0.5473839347218765
42,35,0.019222688765521443
42,60,0.03368513594667681
42,110,0.46864548830703845
42,260,0.8591026964995975
42,960,0.9172747153529272
43,35,0.3764827575569897
43,60,0.6626641948538523
43,110,0.8978383011812817
43,260,0.9604563651971005
43,960,0.920192597142283
44,35,0.9358451563086726
44,60,0.9456529888617404
44,110,0.7207118208727997
44,260,0.49660112697840797
44,960,0.2268809989492302
45,35,0.5041716044387097
45,60,0.31426593033976424
45,110,0.46958517744630407
45,260,0.20883443607189373
45,960,0.706901987445418
46,35,0.5748903118742498
46,60,0.8400399910967216
46,110,0.7576302673024338
46,260,0.31982625457463276
46,960,0.2850265726762018
47,35,0.25391473573027035
47,60,0.09244829779278853
47,110,0.29005813893388466
47,260,0.6285182292842599
47,960,0.4263002104945339
48,35,0.7076662151220298
48,60,0.7734760988996525
48,110,0.887483220923029
48,260,0.8954754654787406
48,960,0.9932937365365688
49,35,0.6034419086152665
49,60,0.20359683859640892
49,110,0.2618487218122771
49,260,0.3026019146118156
49,960,0.7428842332984145
50,35,0.40673623287183897
50,60,0.3238894572712701
50,110,0.7853123384624865
50,260,0.33239125921393076
50,960,0.7190420739458813
51,35,0.6793479255602386
51,60,0.5816594495339831
51,110,0.8350482923534679
51,260,0.7075298196425547
51,960,0.6915269117185517
52,35,0.8093948308667065
52,60,0.8583644750518855
52,110,0.28520416807114735
52,260,0.31466168273715056
52,960,0.6413641265819467
53,35,0.6674695549011829
53,60,0.8906782595877291
53,110,0.46042498088978095
53,260,0.739756522698996
53,960,0.44805420609150826
54,35,0.18024194312106295
54,60,0.31405680421278986
54,110,0.7734124804588369
54,260,0.28787705290447696
54,960,0.6045696676707742
55,35,0.29847199851834194
55,60,0.5725988926897301
55,110,0.38555025260491665
55,260,0.3414975796855387
55,960,0.11318463809685815
56,35,0.49595989998111056
56,60,0.5733143203578699
56,110,0.39297040320801113
56,260,0.22825932147836492
56,960,0.5127436410639405
57,35,0.31753041528286546
57,60,0.3680976933853226
57,110,0.0698462489928641
57,260,0.23414171401364703
57,960,0.8390141861431197
58,35,0.16221917186945667
58,60,0.6118853838896661
58,110,0.37131877014675296
58,260,0.9603194908904742
58,960,0.9827242512511296
59,35,0.39365666428764184
59,60,0.47280467280434024
59,110,0.38529090513415437
59,260,0.7506752138892265
59,960,0.7952922615175297
60,35,0.28209480864005543
60,60,0.1977373511986114
60,110,0.2955559111136401
60,260,0.04691412412980428
60,960,0.07245351932549027
61,35,0.63445407982451
61,60,0.77957860595351125
61,110,0.6060408528742837
61,260,0.29605599775751884
61,960,0.8473086975816434
62,35,0.48708227460171916
62,60,0.446208586785955
62,110,0.11471256715265953
62,260,0.1095157226247636
62,960,0.44088940868561877
63,35,0.023460093340735014
63,60,0.016569592794918615
63,110,0.0219836117159884
63,260,0.12249501618901386
63,960,0.22308569338735068
64,35,0.8221282628499724
64,60,0.8809947515372365
64,110,0.1902768930356104
64,260,0.10391725899848678
64,960,0.24623773633741997
65,35,0.011181838108090491
65,60,0.03984058064647122
65,110,0.13263655593233853
65,260,0.02333404683192626
65,960,0.2153115902547934
66,35,0.5207241417802436
66,60,0.09713995113097083
66,110,0.2530323210765731
66,260,0.44640275655425365
66,960,0.3312518913928736
67,35,0.23222085042154056
67,60,0.29150372829115623
67,110,0.21828787425162244
67,260,0.020403586811685817
67,960,0.02481200317293501
68,35,0.6127791990834196
68,60,0.5238278890419291
68,110,0.20648818011423725
68,260,0.015267390733851794
68,960,0.12218667894391615
69,35,0.6871620800008831
69,60,0.33758475894757617
69,110,0.4093943659203
69,260,0.5765611491481194
69,960,0.6298543276687101
70,35,0.6119281947274536
70,60,0.5694716500303041
70,110,0.6052723619548722
70,260,0.7630452437397915
70,960,0.38695814084179775
71,35,0.36218976835630645
71,60,0.31710798766319004
71,110,0.3761861820526573
71,260,0.1558381176924267
71,960,0.32015734715808863
72,35,0.22568902311656625
72,60,0.5677772529523505
72,110,0.5457178519320992
72,260,0.31780816938087464
72,960,0.3178229730901958
73,35,0.29492085144914276
73,60,0.3070392786727639
73,110,0.10092736825739067
73,260,0.12924716113018722
73,960,0.06423654527558786
74,35,0.14749681005444387
74,60,0.15605565121624207
74,110,0.20269510169121352
74,260,0.18994831393444106
74,960,0.583593069736271
75,35,0.9548020065772491
75,60,0.8399903922636796
75,110,0.5315400275119042
75,260,0.7440998960057007
75,960,0.9890618636878838
76,35,0.43375991161031935
76,60,0.4203539138682185
76,110,0.6116434829350945
76,260,0.126599276196468
76,960,0.07875397410898302
77,35,0.09866841266969124
77,60,0.4305705835883604
77,110,0.5919363754080004
77,260,0.6250700203301843
77,960,0.592077718021854
78,35,0.4189727308898321
78,60,0.33280322841177823
78,110,0.3817427740080608
78,260,0.5671408101876163
78,960,0.8579998323933705
79,35,0.08304766747194876
79,60,0.02983203118834218
79,110,0.10289977306212086
79,260,0.24983711218938204
79,960,0.6444019782561299
80,35,0.6961157405019678
80,60,0.3011811575035104
80,110,0.07091173960307286
80,260,0.23148038423732487
80,960,0.10743860091706932
81,35,0.6700131835652735
81,60,0.6743065322761663
81,110,0.5652931573616737
81,260,0.7373047637302906
81,960,0.7237566712336319
82,35,0.9735359577177531
82,60,0.9584258765874822
82,110,0.9501305637365731
82,260,0.7862373413558044
82,960,0.7320028272701631
83,35,0.8969103162170784
83,60,0.8858649363620629
83,110,0.46321908885810514
83,260,0.4844771653440104
83,960,0.23304133328125554
84,35,0.8133636645849045
84,60,0.6250999317896615
84,110,0.5824575583946424
84,260,0.8495388994415993
84,960,0.5978632732000314
85,35,0.09092401649946727
85,60,0.1758001654819798
85,110,0.5319278143907922
